service_category,year,age_band,sex,spending_per_person,out_of_pocket_spending_per_person,utilization_per_1000_people,price,out_of_pocket_price,share_of_annual_enrollment
PH,2015,1,F  ,1102.14,218.83,12264.20,89.87,17.84,0.1184
PH,2016,1,F  ,1139.87,230.63,12366.18,92.18,18.65,0.1184
PH,2017,1,F  ,1180.43,243.11,12530.87,94.20,19.40,0.1186
PH,2018,1,F  ,1196.93,259.81,12664.82,94.51,20.51,0.1193
PH,2019,1,F  ,1237.09,266.36,12664.00,97.69,21.03,0.1192
PH,2015,1,M  ,1210.22,235.61,12441.58,97.27,18.94,0.1239
PH,2016,1,M  ,1254.33,246.31,12568.65,99.80,19.60,0.1239
PH,2017,1,M  ,1304.46,258.83,12831.01,101.66,20.17,0.1240
PH,2018,1,M  ,1314.32,270.20,12824.14,102.49,21.07,0.1248
PH,2019,1,M  ,1367.55,278.53,12692.00,107.75,21.95,0.1249
PH,2015,2,F  ,1265.53,297.86,13295.64,95.18,22.40,0.0505
PH,2016,2,F  ,1340.05,326.50,13677.53,97.97,23.87,0.0501
PH,2017,2,F  ,1432.67,349.59,14285.82,100.29,24.47,0.0499
PH,2018,2,F  ,1592.15,389.22,15370.89,103.58,25.32,0.0492
PH,2019,2,F  ,1610.54,391.10,15450.14,104.24,25.31,0.0494
PH,2015,2,M  ,758.39,180.58,7467.37,101.56,24.18,0.0531
PH,2016,2,M  ,768.42,193.89,7215.22,106.50,26.87,0.0528
PH,2017,2,M  ,799.44,202.55,7291.78,109.64,27.78,0.0525
PH,2018,2,M  ,813.42,212.95,7405.87,109.83,28.75,0.0517
PH,2019,2,M  ,820.76,215.09,7479.52,109.73,28.76,0.0520
PH,2015,3,F  ,2029.30,480.39,20220.77,100.36,23.76,0.0710
PH,2016,3,F  ,2052.66,490.55,19781.40,103.77,24.80,0.0710
PH,2017,3,F  ,2075.37,500.73,19599.42,105.89,25.55,0.0708
PH,2018,3,F  ,2138.43,519.68,19902.43,107.45,26.11,0.0707
PH,2019,3,F  ,2181.08,534.03,20006.44,109.02,26.69,0.0705
PH,2015,3,M  ,836.01,228.43,9240.62,90.47,24.72,0.0720
PH,2016,3,M  ,837.28,231.10,8868.21,94.41,26.06,0.0724
PH,2017,3,M  ,851.78,237.70,8721.13,97.67,27.26,0.0721
PH,2018,3,M  ,870.39,248.59,8846.64,98.39,28.10,0.0720
PH,2019,3,M  ,904.01,257.26,9014.81,100.28,28.54,0.0721
PH,2015,4,F  ,2162.22,479.45,21479.93,100.66,22.32,0.0808
PH,2016,4,F  ,2220.64,500.94,21459.13,103.48,23.34,0.0810
PH,2017,4,F  ,2286.42,514.19,21478.91,106.45,23.94,0.0814
PH,2018,4,F  ,2363.73,534.57,21964.15,107.62,24.34,0.0819
PH,2019,4,F  ,2399.45,537.81,21885.03,109.64,24.57,0.0819
PH,2015,4,M  ,1083.70,278.08,11827.10,91.63,23.51,0.0785
PH,2016,4,M  ,1123.08,292.99,11762.07,95.48,24.91,0.0788
PH,2017,4,M  ,1160.90,305.47,11978.62,96.91,25.50,0.0791
PH,2018,4,M  ,1245.53,327.74,12620.02,98.69,25.97,0.0795
PH,2019,4,M  ,1262.85,330.36,12563.87,100.51,26.29,0.0797
PH,2015,5,F  ,2329.32,494.59,23999.74,97.06,20.61,0.0916
PH,2016,5,F  ,2406.93,514.56,24068.65,100.00,21.38,0.0914
PH,2017,5,F  ,2485.39,530.80,23973.19,103.67,22.14,0.0914
PH,2018,5,F  ,2653.00,561.96,24870.94,106.67,22.60,0.0913
PH,2019,5,F  ,2705.53,565.11,24832.54,108.95,22.76,0.0910
PH,2015,5,M  ,1555.29,353.45,15983.13,97.31,22.11,0.0871
PH,2016,5,M  ,1624.24,369.11,16043.73,101.24,23.01,0.0871
PH,2017,5,M  ,1693.07,384.02,16458.50,102.87,23.33,0.0873
PH,2018,5,M  ,1823.21,410.87,17262.75,105.62,23.80,0.0872
PH,2019,5,M  ,1850.81,412.30,17183.33,107.71,23.99,0.0869
PH,2015,6,F  ,2781.29,549.95,27567.03,100.89,19.95,0.0895
PH,2016,6,F  ,2869.91,574.52,27689.37,103.65,20.75,0.0892
PH,2017,6,F  ,2976.11,596.59,27716.04,107.38,21.52,0.0892
PH,2018,6,F  ,3157.47,635.13,28724.50,109.92,22.11,0.0889
PH,2019,6,F  ,3221.68,634.93,28481.41,113.12,22.29,0.0889
PH,2015,6,M  ,2336.05,462.59,21789.52,107.21,21.23,0.0837
PH,2016,6,M  ,2438.67,486.17,22032.26,110.69,22.07,0.0837
PH,2017,6,M  ,2542.54,510.23,22652.84,112.24,22.52,0.0837
PH,2018,6,M  ,2765.77,553.23,23838.02,116.02,23.21,0.0835
PH,2019,6,M  ,2813.63,553.87,23643.09,119.00,23.43,0.0835
RX,2015,1,F  ,339.63,64.99,74305.96,137.12,26.24,0.1179
RX,2016,1,F  ,351.47,63.57,75184.49,140.24,25.36,0.1181
RX,2017,1,F  ,360.71,62.51,74800.68,144.67,25.07,0.1182
RX,2018,1,F  ,387.86,63.26,79086.75,147.13,24.00,0.1190
RX,2019,1,F  ,398.93,60.82,81589.24,146.68,22.36,0.1190
RX,2015,1,M  ,467.31,81.62,80598.83,173.94,30.38,0.1235
RX,2016,1,M  ,487.25,80.08,80312.60,182.01,29.91,0.1236
RX,2017,1,M  ,502.34,78.24,78697.62,191.50,29.82,0.1236
RX,2018,1,M  ,535.09,78.08,78525.71,204.42,29.83,0.1245
RX,2019,1,M  ,540.88,74.71,79560.63,203.95,28.17,0.1245
RX,2015,2,F  ,609.53,103.73,201554.64,90.72,15.44,0.0504
RX,2016,2,F  ,662.74,104.19,214048.23,92.89,14.60,0.0500
